Water Control Zone,Station,Dates,num,Sample No,Depth,E. coli (cfu/100mL)
Victoria Harbour,VM1,1991/11/14,97,1,Middle Water,1000
Victoria Harbour,VM1,1991/11/27,98,1,Middle Water,2000
Victoria Harbour,VM1,1991/12/10,99,1,Middle Water,3500
Victoria Harbour,VM1,1991/12/23,100,1,Middle Water,2600
Victoria Harbour,VM1,1992/1/8,101,1,Middle Water,9000
Victoria Harbour,VM1,1992/2/12,102,1,Middle Water,4100
Victoria Harbour,VM1,1992/3/11,103,1,Middle Water,7000
Victoria Harbour,VM1,1992/4/14,104,1,Middle Water,8000
Victoria Harbour,VM1,1992/5/13,105,1,Middle Water,10000
Victoria Harbour,VM1,1992/6/11,106,1,Middle Water,11000
Victoria Harbour,VM1,1992/7/14,107,1,Middle Water,16000
Victoria Harbour,VM1,1992/8/20,108,1,Middle Water,10000
Victoria Harbour,VM1,1992/9/7,109,1,Middle Water,15000
Victoria Harbour,VM1,1992/10/6,110,1,Middle Water,2400
Victoria Harbour,VM1,1992/11/5,111,1,Middle Water,2900
Victoria Harbour,VM1,1992/12/18,112,1,Middle Water,3600
Victoria Harbour,VM1,1993/1/20,113,1,Middle Water,3500
Victoria Harbour,VM1,1993/2/16,114,1,Middle Water,25000
Victoria Harbour,VM1,1993/3/31,115,1,Middle Water,2900
Victoria Harbour,VM1,1993/4/19,116,1,Middle Water,12000
Victoria Harbour,VM1,1993/5/7,117,1,Middle Water,9000
Victoria Harbour,VM1,1993/6/17,118,1,Middle Water,25000
Victoria Harbour,VM1,1993/7/14,119,1,Middle Water,11000
Victoria Harbour,VM1,1993/8/16,120,1,Middle Water,4100
Victoria Harbour,VM1,1993/9/6,121,1,Middle Water,23000
Victoria Harbour,VM1,1993/10/7,122,1,Middle Water,500
Victoria Harbour,VM1,1993/11/17,123,1,Middle Water,2600
Victoria Harbour,VM1,1993/12/16,124,1,Middle Water,3900
Victoria Harbour,VM1,1994/1/14,125,1,Middle Water,20000
Victoria Harbour,VM1,1994/2/7,126,1,Middle Water,5300
Victoria Harbour,VM1,1994/3/14,127,1,Middle Water,7600
Victoria Harbour,VM1,1994/4/20,128,1,Middle Water,1100
Victoria Harbour,VM1,1994/5/19,129,1,Middle Water,3400
Victoria Harbour,VM1,1994/6/22,130,1,Middle Water,8000
Victoria Harbour,VM1,1994/7/18,131,1,Middle Water,9000
Victoria Harbour,VM1,1994/8/15,132,1,Middle Water,10000
Victoria Harbour,VM1,1994/9/14,133,1,Middle Water,4700
Victoria Harbour,VM1,1994/10/20,134,1,Middle Water,20000
Victoria Harbour,VM1,1994/11/17,135,1,Middle Water,18000
Victoria Harbour,VM1,1994/12/14,136,1,Middle Water,2800
Victoria Harbour,VM1,1995/1/20,137,1,Middle Water,8000
Victoria Harbour,VM1,1995/2/20,138,1,Middle Water,600
Victoria Harbour,VM1,1995/3/16,139,1,Middle Water,5000
Victoria Harbour,VM1,1995/4/20,140,1,Middle Water,700
Victoria Harbour,VM1,1995/5/19,141,1,Middle Water,3300
Victoria Harbour,VM1,1995/6/22,142,1,Middle Water,19000
Victoria Harbour,VM1,1995/7/24,143,1,Middle Water,2600
Victoria Harbour,VM1,1995/8/17,144,1,Middle Water,1800
Victoria Harbour,VM1,1995/9/15,145,1,Middle Water,3400
Victoria Harbour,VM1,1995/10/16,146,1,Middle Water,8000
Victoria Harbour,VM1,1995/11/16,147,1,Middle Water,1800
Victoria Harbour,VM1,1995/12/15,148,1,Middle Water,2100
Victoria Harbour,VM1,1996/1/18,149,1,Middle Water,4800
Victoria Harbour,VM1,1996/2/6,150,1,Middle Water,9000
Victoria Harbour,VM1,1996/3/18,151,1,Middle Water,9000
Victoria Harbour,VM1,1996/4/15,152,1,Middle Water,23000
Victoria Harbour,VM1,1996/5/16,153,1,Middle Water,15000
Victoria Harbour,VM1,1996/6/14,154,1,Middle Water,18000
Victoria Harbour,VM1,1996/7/19,155,1,Middle Water,2000
Victoria Harbour,VM1,1996/8/22,156,1,Middle Water,10000
Victoria Harbour,VM1,1996/9/13,157,1,Middle Water,20000
Victoria Harbour,VM1,1996/10/17,158,1,Middle Water,9000
Victoria Harbour,VM1,1996/11/13,159,1,Middle Water,7000
Victoria Harbour,VM1,1996/12/16,160,1,Middle Water,1200
Victoria Harbour,VM1,1997/1/15,161,1,Middle Water,1100
Victoria Harbour,VM1,1997/2/26,162,1,Middle Water,9000
Victoria Harbour,VM1,1997/3/17,163,1,Middle Water,3000
Victoria Harbour,VM1,1997/4/21,164,1,Middle Water,16000
Victoria Harbour,VM1,1997/5/19,165,1,Middle Water,10000
Victoria Harbour,VM1,1997/6/18,166,1,Middle Water,31000
Victoria Harbour,VM1,1997/7/28,167,1,Middle Water,1600
Victoria Harbour,VM1,1997/8/26,168,1,Middle Water,12000
Victoria Harbour,VM1,1997/9/18,169,1,Middle Water,3400
Victoria Harbour,VM1,1997/10/24,170,1,Middle Water,2900
Victoria Harbour,VM1,1997/11/28,171,1,Middle Water,5900
Victoria Harbour,VM1,1997/12/17,172,1,Middle Water,4200
Victoria Harbour,VM1,1998/1/22,173,1,Middle Water,4500
Victoria Harbour,VM1,1998/2/19,174,1,Middle Water,2800
Victoria Harbour,VM1,1998/3/18,175,1,Middle Water,6100
Victoria Harbour,VM1,1998/4/24,176,1,Middle Water,24000
Victoria Harbour,VM1,1998/5/20,177,1,Middle Water,21000
Victoria Harbour,VM1,1998/6/18,178,1,Middle Water,18000
Victoria Harbour,VM1,1998/7/22,179,1,Middle Water,3200
Victoria Harbour,VM1,1998/8/19,180,1,Middle Water,68000
Victoria Harbour,VM1,1998/9/16,181,1,Middle Water,30000
Victoria Harbour,VM1,1998/10/22,182,1,Middle Water,850
Victoria Harbour,VM1,1998/11/23,183,1,Middle Water,2200
Victoria Harbour,VM1,1998/12/16,184,1,Middle Water,6100
Victoria Harbour,VM1,1999/1/13,185,1,Middle Water,3000
Victoria Harbour,VM1,1999/2/3,186,1,Middle Water,2800
